plant_species,plant_accepted_name,plant_family
Stenocereus stellatus,Stenocereus stellatus (Pfeiff.) Riccob.,Cactaceae
Hirtella glandulosa,Hirtella glandulosa Spreng.,Chrysobalanaceae
Hirtella gracilipes,Hirtella gracilipes (Hook.f.) Prance,Chrysobalanaceae
Parnassia epunctulata,Parnassia epunctulata J.T.Pan,Celastraceae
Agave macroacantha,Agave macroacantha Zucc.,Asparagaceae
Hypochaeris salzmanniana,Hypochaeris salzmanniana DC.,Asteraceae
Ceratonia siliqua,Ceratonia siliqua L.,Fabaceae
Dalechampia brownsbergensis,Dalechampia brownsbergensis G.L.Webster & Armbr.,Euphorbiaceae
Dalechampia fragrans,Dalechampia fragrans Armbr.,Euphorbiaceae
Dalechampia dioscoreifolia,Dalechampia dioscoreifolia Poepp.,Euphorbiaceae
Dalechampia heteromorpha,Dalechampia heteromorpha Pax & K.Hoffm.,Euphorbiaceae
Dalechampia tilifolia,Dalechampia tiliifolia Lam.,Euphorbiaceae
Stylidium spp.,Stylidium Sw. ex Willd.,Stylidiaceae
Dalechampia ipomoeifolia,Dalechampia ipomoeifolia Benth.,Euphorbiaceae
Pedicularis densispica,Pedicularis densispica Franch. ex Maxim.,Orobanchaceae
Pedicularis tricolor,Pedicularis tricolor Hand.-Mazz.,Orobanchaceae
Pedicularis dichotoma,Pedicularis dichotoma Bonati,Orobanchaceae
Linum suffruticosum,Linum suffruticosum L.,Linaceae
Dalechampia bidentata,Dalechampia bidentata Blume,Euphorbiaceae
Myristica insipida,Myristica insipida R.Br.,Myristicaceae
Myristica fragrans,Myristica fragrans Houtt.,Myristicaceae
Dalechampia cissifolia,Dalechampia cissifolia Poepp. & Endl.,Euphorbiaceae
Dalechampia affinis,Dalechampia affinis Müll.Arg.,Euphorbiaceae
Dalechampia magnistipulata,Dalechampia magnistipulata G.L.Webster & Armbr.,Euphorbiaceae
Dalechampia spathulata,Dalechampia spathulata (Scheidw.) Baill.,Euphorbiaceae
Dalechampia galpinii,Dalechampia galpinii Pax,Euphorbiaceae
Dalechampia aff. parvifolia,Dalechampia L.,Euphorbiaceae
Dalechampia volubilis,Dalechampia volubilis E.Mey. ex Baill.,Euphorbiaceae
Dalechampia capensis,Dalechampia capensis Sond.,Euphorbiaceae
Dalechampia cf. parvifolia,Dalechampia L.,Euphorbiaceae
Erigeron glabellus,Erigeron glabellus Nutt.,Asteraceae
Aster sibiricus,Aster sibiricus Turcz. ex Torr. & A.Gray,Asteraceae
Dalechampia magnolifolia,Dalechampia magnoliifolia Müll.Arg.,Euphorbiaceae
Dithyrea maritima,Dithyrea maritima (Davidson) Davidson,Brassicaceae
Helianthemum caput-felis,Helianthemum caput-felis Boiss.,Cistaceae
Anaxagorea crassipetala,Anaxagorea crassipetala Hemsl.,Annonaceae
Chaenorrhinum minus,Chaenorhinum (DC.) Rchb.,Plantaginaceae
Theobroma cacao,Theobroma cacao L.,Malvaceae
Rhamnus alaternus,Rhamnus alaternus L.,Rhamnaceae
Coronilla emerus,Coronilla emerus L.,Fabaceae
Agave cupreata,Agave cupreata Trel. & A.Berger,Asparagaceae
Narcissus tazetta,Narcissus tazetta L.,Amaryllidaceae
Rhodolirium montanum,Rhodolirium montanum Phil.,Amaryllidaceae
Chaetanthera euphrasioides,Chaetanthera euphrasioides F.Meigen,Asteraceae
Ariocarpus kotschoubeyanus,Ariocarpus kotschoubeyanus (Lem.) K.Schum.,Cactaceae
Neolloydia conoidea,Neolloydia conoidea (DC.) Britton & Rose,Cactaceae
Halimium halimifolium,Halimium halimifolium (L.) Willk.,Cistaceae
Mutisia subulata fma. rosmarinifolia,Mutisia subulata Ruiz & Pav.,Asteraceae
Deuterocohnia meziana,Deuterocohnia meziana Kuntze ex Mez,Bromeliaceae
Fragaria virginiana,Fragaria virginiana Mill.,Rosaceae
Harrisia tetracantha,Harrisia tetracantha (Labour.) D.R.Hunt,Cactaceae
Neoraimondia herzogiana,Neoraimondia herzogiana (Backeb.) Buxb. & Krainz,Cactaceae
Cleistocactus sepium,Cleistocactus sepium (Kunth) F.A.C.Weber,Cactaceae
Neocardenasia herzogiana,Neocardenasia herzogiana Backeb.,Cactaceae
Haageocereus pseudomelanostele,Haageocereus pseudomelanostele (Werderm. & Backeb.) Backeb.,Cactaceae
Globba leucantha var. bicolor,Globba leucantha var. bicolor Holttum,Zingiberaceae
Asclepias lanceolata,Asclepias lanceolata Walter,Apocynaceae
Oenothera cespitosa subsp. navajoensis,"Oenothera cespitosa var. navajoensis (W.L.Wagner, Stockh. & W.M.Klein) Cronquist",Onagraceae
Oenothera cespitosa subsp. cespitosa,Oenothera cespitosa var. cespitosa ,Onagraceae
Stenogyne angustifolia,Stenogyne angustifolia A.Gray,Lamiaceae
Geranium sylvaticum,Geranium sylvaticum L.,Geraniaceae
Cucurbita maxima ssp. andreana,Cucurbita maxima subsp. andreana (Naudin) Filov,Cucurbitaceae
Sidalcea oregana ssp. spicata,Sidalcea oregana subsp. spicata (Regel) C.L.Hitchc.,Malvaceae
Ageratina aromatica,Ageratina aromatica (L.) Spach,Asteraceae
Eupatorium compositifolium,Eupatorium compositifolium Walter,Asteraceae
Liatris tenuifolia,Liatris tenuifolia Nutt.,Asteraceae
Balduina angustifolia,Balduina angustifolia B.L.Rob.,Asteraceae
Pityopsis graminifolia,Pityopsis graminifolia (Michx.) Nutt.,Asteraceae
Elephantopus sp.,Elephantopus L.,Asteraceae
Solidago odora,Solidago odora Aiton,Asteraceae
Dalea pinnata,Dalea pinnata (J.F.Gmel.) Barneby,Fabaceae
Eriogonum tomentosum,Eriogonum tomentosum Michx.,Polygonaceae
Ipomoea rubriflora,Ipomoea rubriflora O'Donell,Convolvulaceae
Ipomoea purpurea,Ipomoea purpurea (L.) Roth,Convolvulaceae
Heteropterys pteropetala,Heteropterys pteropetala A.Juss.,Malpighiaceae
Filipendula rubra,Filipendula rubra (Hill) B.L.Rob.,Rosaceae
Fritillaria michailovskyi,Fritillaria michailovskyi Fomin,Liliaceae
Argemone glauca,Argemone glauca (Nutt. ex Prain) Pope,Papaveraceae
Bidens menziesii,Bidens menziesii Sherff,Asteraceae
Dubautia linearis,Dubautia linearis (Gaudich.) D.D.Keck,Asteraceae
Sida fallax,Sida fallax Walp.,Malvaceae
Haplostachys haplostachya,Haplostachys haplostachya (A.Gray) H.St.John,Lamiaceae
Silene lanceolata,Silene lanceolata A.Gray,NA
Tetramolopium arenarium,Tetramolopium arenarium Hillebr.,Asteraceae
Inga subnuda subsp. luschnathiana,Inga subnuda subsp. luschnathiana (Benth.) T.D.Penn.,Fabaceae
Parodia crassigibba,Parodia crassigibba (F.Ritter) N.P.Taylor,Cactaceae
Hybanthus prunifolius,Hybanthus prunifolius (Humb. & Bonpl.) Schulze-Menz,Violaceae
Elaeis guineensis,Elaeis guineensis Jacq.,Arecaceae
Elaeis oleifera Taisha,Elaeis oleifera (Kunth) Cortés,Arecaceae
Elaeis oleifera Coari,Elaeis oleifera (Kunth) Cortés,Arecaceae
Passiflora mucronata,Passiflora mucronata Lam.,Passifloraceae
Dianthus inoxianus,Dianthus inoxianus Gallego,NA
Helianthella quinquenervis,Helianthella quinquenervis (Hook.) A.Gray,Asteraceae
Potentilla pulcherrima,Potentilla pulcherrima Lehm.,Rosaceae
Erigeron speciosus,Erigeron speciosus DC.,Asteraceae
Glechoma longituba,Glechoma longituba (Nakai) Kuprian.,Lamiaceae
Cypella amplimaculata,Cypella amplimaculata Chauveau & L.Eggers,Iridaceae
Herbertia pulchella,Herbertia pulchella Sweet,Iridaceae
Cipura formosa,Cipura formosa Ravenna,Iridaceae
Cipura sp.,Cipura Aubl.,Iridaceae
Oxalis alpina,Oxalis alpina (Rose) Rose ex R.Knuth,Oxalidaceae
Syzygium guineense subsp. macrocarpum,Syzygium guineense subsp. macrocarpum (Engl.) F.White,Myrtaceae
Rapistrum rugosum,Rapistrum rugosum (L.) All.,Brassicaceae
Crepis foetida,Crepis foetida L.,Asteraceae
Eryngium caucasicum,Eryngium caucasicum Trautv.,Apiaceae
Psittacanthus calyculatus,Psittacanthus calyculatus G.Don,Loranthaceae
Cucumis melo var. Reticulatus cv. Glamour,Cucumis melo var. reticulatus Ser.,Cucurbitaceae
Comanthera bisulcata,Comanthera bisulcata (Körn.) L.R.Parra & Giul.,Eriocaulaceae
Cyrtorchis okuensis,"Cyrtorchis okuensis Droissart, Azandi & M.Simo",Orchidaceae
Chloroxylon swietenia,Chloroxylon swietenia DC.,Rutaceae
Anigozanthos manglesii,Anigozanthos manglesii D.Don,Haemodoraceae
Bonatea polypodantha,Bonatea polypodantha (Rchb.f.) L.Bolus,Orchidaceae
Parkia clappertoniana,Parkia clappertoniana Keay,Fabaceae
Bonatea cassidea,Bonatea cassidea Sond.,Orchidaceae
Erythronium propullans,Erythronium propullans A.Gray,Liliaceae
Erythronium albidum,Erythronium albidum Nutt.,Liliaceae
Palaquium stehlinii,Palaquium stehlinii Christoph.,Sapotaceae
Cocos nucifera,Cocos nucifera L.,Arecaceae
Mixed wildflower strips containing 9 species,NA,NA
Rudbeckia hirta,Rudbeckia hirta L.,Asteraceae
Helenium autumnale,Helenium autumnale L.,Asteraceae
Amphilophium mansoanum,Amphilophium mansoanum (DC.) L.G.Lohmann,Bignoniaceae
Cucumis sativus,Cucumis sativus L.,Cucurbitaceae
Eruca sativa,Eruca sativa (L.) Mill.,Brassicaceae
Arisaema triphyllum,Arisaema triphyllum (L.) Schott,Araceae
Eichhornia paniculata,Eichhornia paniculata Solms,Pontederiaceae
Justicia aequilabris,Justicia aequilabris (Nees) Lindau,Acanthaceae
Lapeirousia oreogena,Lapeirousia oreogena Schltr. ex Goldblatt,Iridaceae
Babiana framesii,Babiana framesii L.Bolus,Iridaceae
Babiana vanzyliae,Babiana vanzijliae L.Bolus,Iridaceae
Lapeirousia jacquinii,Lapeirousia jacquinii N.E.Br.,Iridaceae
Banisteriopsis campestris,Banisteriopsis campestris (A.Juss.) Little,Malpighiaceae
Banisteriopsis malifolia,Banisteriopsis malifolia (Nees & Mart.) B.Gates,Malpighiaceae
Peixotoa tomentosa,Peixotoa tomentosa A.Juss.,Malpighiaceae
Wrightia tomentosa,Wrightia tomentosa Roem. & Schult.,Apocynaceae
Penstemon digitalis,Penstemon digitalis Nutt. ex Sims,Plantaginaceae
Monarda fistulosa,Monarda fistulosa L.,Lamiaceae
Eryngium yuccifolium,Eryngium yuccifolium Michx.,Apiaceae
Stachytarpheta maximiliani,Stachytarpheta maximiliani Schauer,Verbenaceae
Chamaecrista latistipula,Chamaecrista latistipula (Benth.) Afr.Fern. & E.P.Nunes,Fabaceae
Octomeria crassifolia,Octomeria crassifolia Lindl.,Orchidaceae
Octomeria grandiflora,Octomeria grandiflora Lindl.,Orchidaceae
Edmundoa lindenii,Edmundoa lindenii (Regel) Leme,Bromeliaceae
Salvia verbenaca,Salvia verbenaca L.,Lamiaceae
Salvia officinalis,Salvia officinalis L.,Lamiaceae
Nepeta tuberosa,Nepeta tuberosa L.,Lamiaceae
Melissa officinalis,Melissa officinalis L.,Lamiaceae
Thymbra capitata,Thymbra capitata (L.) Cav.,Lamiaceae
Hyssopus officinalis,Hyssopus officinalis L.,Lamiaceae
Carpobrotus aff. acinaciformis,Carpobrotus N.E.Br.,Aizoaceae
Opuntia stricta,Opuntia stricta (Haw.) Haw.,Cactaceae
Carpobrotus affine acinaciformis,Carpobrotus abbreviatus (Haw.) Schwantes,Aizoaceae
Cistus albidus,Cistus albidus L.,Cistaceae
Cistus monspeliensis,Cistus monspeliensis L.,Cistaceae
Cistus salvifolius,Cistus salviifolius L.,Cistaceae
Sonchus tenerrimus,Sonchus tenerrimus L.,Asteraceae
Lobelia cardinalis,Lobelia cardinalis L.,Campanulaceae
Dendrobium monophyllum,Dendrobium monophyllum F.Muell.,Orchidaceae
Pachyptera hymenaea,Pachyptera hymenaea (DC.) A.H.Gentry,Bignoniaceae
Hemerocallis 'Stella de Oro',Hemerocallis L.,Asphodelaceae
Hemerocallis 'Violacea',Hemerocallis L.,Asphodelaceae
Hemerocallis 'Brown Witch',Hemerocallis L.,Asphodelaceae
Angadenia berteroi,Angadenia berteroi (A.DC.) Miers,Apocynaceae
Lonicera maackii,Lonicera maackii (Rupr.) Maxim.,Caprifoliaceae
Salvia stachydifolia,Salvia stachydifolia Benth.,Lamiaceae
Symplocarpus foetidus,Symplocarpus foetidus (L.) Salisb. ex W.P.C.Barton,Araceae
Amburana cearensis,Amburana cearensis (Allemão) A.C.Sm.,Fabaceae
Ananas ananassoides,Ananas ananassoides (Baker) L.B.Sm.,Bromeliaceae
Bromelia balansae,Bromelia balansae Mez,Bromeliaceae
Melaleuca alternifolia,Melaleuca alternifolia (Maiden & Betche) Cheel,Myrtaceae
Cleome viscosa,Cleome viscosa L.,Brassicaceae
Cleome gynandra,Cleome gynandra L.,Brassicaceae
Cleome spinosa,Cleome spinosa Jacq.,Brassicaceae
Calathea crotalifera,Calathea crotalifera S.Watson,Marantaceae
Rhododendron anthopogon,Rhododendron anthopogon D.Don,Ericaceae
Rhododendron arboreum,Rhododendron arboreum Sm.,Ericaceae
Rhododendron hodgsonii,Rhododendron hodgsonii Hook.f.,Ericaceae
Rhododendron thomsonii,Rhododendron thomsonii Hook.f.,Ericaceae
Stachytarpheta frantzii,Stachytarpheta frantzii Pol.,Verbenaceae
Calathea lutea,Calathea lutea (Aubl.) Schult.,Marantaceae
Hypericum roeperianum,Hypericum roeperianum G.W.Schimp. ex A.Rich.,Hypericaceae
Hypericum revolutum,Hypericum revolutum Vahl,Hypericaceae
Asimina reticulata,Asimina reticulata Shuttlew. ex Chapm.,Annonaceae
Cyclanthus bipartitus,Cyclanthus bipartitus Poit. ex A.Rich.,Cyclanthaceae
Rafflesia pricei,Rafflesia pricei Meijer,Rafflesiaceae
Amorphophallus johnsonii,Amorphophallus johnsonii N.E.Br.,Araceae
Anthyllis barba-jovis,Anthyllis barba-jovis L.,Fabaceae
Vicia faba L. var. major,Vicia faba L.,Fabaceae
Anacyclus clavatus,Anacyclus clavatus (Desf.) Pers.,Asteraceae
Pilostyles aethiopica,Pilostyles aethiopica Welw.,Apodanthaceae
Pilostyles haussknechtii,Pilostyles haussknechtii Boiss.,Apodanthaceae
Banksia conferta,Banksia conferta A.S.George,Proteaceae
Lycopersicon esculentum,Lycopersicon esculentum Mill.,Solanaceae
Mimulus ringens,Mimulus ringens L.,Phrymaceae
Lobelia siphilitica,Lobelia siphilitica L.,Campanulaceae
Opuntia sulphurea,Opuntia sulphurea Gillies ex Salm-Dyck,Cactaceae
Miconia tococa,Miconia tococa (Desr.) Michelang.,Melastomataceae
Polemonium viscosum,Polemonium viscosum Nutt.,Polemoniaceae
Parodia haselbergii subsp. haselbergii,Parodia haselbergii subsp. haselbergii ,Cactaceae
Parodia haselbergii subsp. graessneri,Parodia haselbergii subsp. graessneri (K.Schum.) Hofacker & P.J.Braun,Cactaceae
Parodia rechensis,Parodia rechensis (Buining) F.H.Brandt,Cactaceae
Cereus hildmannianus,Cereus hildmannianus K.Schum.,Cactaceae
Pereskia aculeata,Pereskia aculeata Mill.,Cactaceae
Lavandula officinalis,Lavandula officinalis Chaix,Lamiaceae
Galactites tomentosa,Galactites tomentosa Moench,Asteraceae
Leontodon hispidus,Leontodon hispidus L.,Asteraceae
Sinapis arvensis,Sinapis arvensis L.,Brassicaceae
Raphanus raphanistrum,Raphanus raphanistrum L.,Brassicaceae
Gladiolus segetum,Gladiolus segetum Ker Gawl.,Iridaceae
Rosmarinus officinalis,Rosmarinus officinalis L.,Lamiaceae
Papaver rhoeas,Papaver rhoeas L.,Papaveraceae
Hibbertia stricta,Hibbertia stricta R.Br. ex DC.,NA
Amyema miraculosum,Amyema miraculosa Tiegh.,Loranthaceae
Amyema miquelii,Amyema miquelii Tiegh.,Loranthaceae
Amyema linophyllum,Amyema linophylla Tiegh.,Loranthaceae
Amyema pendulum,Amyema pendula Tiegh.,Loranthaceae
Amyema preisii,Amyema preissii Tiegh.,Loranthaceae
Amyema quandang,Amyema quandang Tiegh.,Loranthaceae
Stevia rebaudiana,Stevia rebaudiana Bertoni,Asteraceae
Turnera sidoides ssp. pinnatifida,Turnera sidoides subsp. pinnatifida (Poir.) Arbo,NA
Sphaeralcea cordobensis,Sphaeralcea cordobensis Krapov.,Malvaceae
Modiolastrum malvifolium,Modiolastrum malvifolium (Griseb.) K.Schum.,Malvaceae
Canscora alata,Canscora alata (Roth) Wall.,Gentianaceae
Agave colorata,Agave colorata Gentry,Asparagaceae
Aristolochia baetica,Aristolochia baetica L.,Aristolochiaceae
Aristolochia paucinervis,Aristolochia paucinervis Pomel,Aristolochiaceae
Ficus rubiginosa,Ficus rubiginosa Desf. ex Vent.,Moraceae
Ficus watkinsiana,Ficus watkinsiana F.M.Bailey,Moraceae
Ficus rubra,Ficus rubra Vahl,Moraceae
Ficus macrophylla,Ficus macrophylla Pers.,Moraceae
Ficus microcarpa,Ficus microcarpa L.f.,Moraceae
Ficus religiosa,Ficus religiosa L.,Moraceae
Ficus virens,Ficus virens Aiton,Moraceae
Sophora fernandeziana,Sophora fernandeziana (Phil.) Skottsb.,Fabaceae
Berberis sp.,Berberis L.,Berberidaceae
Colletia sp.,Colletia Scop.,Cannabaceae
Robinsonia sp.,Robinsonia DC.,Asteraceae
Selkirkia berteroi,Selkirkia berteroi Hemsl.,Boraginaceae
Dyckia floribunda,Dyckia floribunda Griseb.,Bromeliaceae
Dyckia velascana,Dyckia velascana Mez,Bromeliaceae
Puya spathacea,Puya spathacea (Griseb.) Mez,Bromeliaceae
Deuterocohnia longipetala,Deuterocohnia longipetala (Baker) Mez,Bromeliaceae
Dyckia ragonesi,Dyckia ragonesei A.Cast.,Bromeliaceae
Tillandsia lorentziana,Tillandsia lorentziana Griseb.,Bromeliaceae
Vriesea friburgensis,Vriesea friburgensis Mez,Bromeliaceae
Lupinus perennis,Lupinus perennis L.,Fabaceae
Hepatica acutiloba DC.,Hepatica acutiloba DC.,Ranunculaceae
Hibbertia fasciculata,Hibbertia fasciculata R.Br. ex DC.,Dilleniaceae
Schrankia nuttallii,Schrankia nuttallii (Raspail) Standl.,Fabaceae
Oxalis violacea,Oxalis violacea L.,Oxalidaceae
Thelymitra nuda,Thelymitra nuda R.Br.,Orchidaceae
Prasophyllum odoratum,Prasophyllum odoratum R.S.Rogers,Orchidaceae
Trimenia moorei,Trimenia moorei (Oliv.) Philipson,Trimeniaceae
Corunastylis ruppii,Corunastylis ruppii (R.S.Rogers) D.L.Jones & M.A.Clem.,Orchidaceae
Spiranthes sinensis white form,Spiranthes sinensis (Pers.) Ames,Orchidaceae
Spiranthes sinensis pink form,Spiranthes sinensis (Pers.) Ames,Orchidaceae
Calanthe yaoshanensis,Calanthe yaoshanensis Z.X.Ren & H.Wang,Orchidaceae
Justicia adhatoda var. vasica,Justicia adhatoda L.,Acanthaceae
Myrosmodes cochlearae,Myrosmodes cochleare Garay,Orchidaceae
Drosophyllum lusitanicum,Drosophyllum lusitanicum (L.) Link,Drosophyllaceae
Vicia faba,Vicia faba L.,Fabaceae
Watsonia knysnana,Watsonia knysnana L.Bolus,Iridaceae
Palicourea demissa,Palicourea demissa Standl.,Rubiaceae
Echeandia macrocarpa,Echeandia macrocarpa Greenm.,Asparagaceae
Sphaeralecea umbellata,Sphaeralcea umbellata G.Don,Malvaceae
Pelargonium graveolens,Pelargonium graveolens L'Hér.,Geraniaceae
Cassia nictitans subsp. disadena,Cassia nictitans var. aspera (Muhl. ex Elliott) Torr. & A.Gray,Fabaceae
Begonia calderonii,Begonia calderonii Standl.,Begoniaceae
Fuchsia microphylla subsp. aprica,Fuchsia microphylla var. aprica (Lundell) Munz,Onagraceae
Rubus rosaefolius,Rubus rosaefolius S.Vidal,NA
Salvia sp.,Salvia L.,Lamiaceae
Acacia retinodes var. uncifolia,Acacia retinodes var. uncifolia J.M.Black,Fabaceae
Acacia longifolia,Acacia longifolia (uct.non (Andrews) Willd.,NA
Acacia mearnsii,Acacia mearnsii De Wild.,Fabaceae
Acacia mitchelii,Acacia mitchellii Benth.,Fabaceae
Acacia myrtifolia,Acacia myrtifolia (Sm.) Willd.,Fabaceae
Acacia paradoxa,Acacia paradoxa DC.,Fabaceae
Acacia pycnantha,Acacia pycnantha Benth.,Fabaceae
Acacia retinodes var. retinodes,Acacia retinodes var. retinodes ,Fabaceae
Acacia terminalis,Acacia terminalis (Salisb.) J.F.Macbr.,Fabaceae
Malpighiaceae spp.,Malpighiaceae Juss.,Malpighiaceae
Melocactus violaceus subsp. margaritaceus,Melocactus violaceus subsp. margaritaceus N.P.Taylor,Cactaceae
Butomus umbellatus,Butomus umbellatus L.,Butomaceae
Aegle marmelos,Aegle marmelos (L.) Corrêa,Rutaceae
Moringa oleifera,Moringa oleifera Lam.,Moringaceae
Anemone shikokiana,Anemone sachalinensis (Miyabe & T.Miyake) Juz.,Ranunculaceae
Linaria tonzigii,Linaria tonzigii Lona,Plantaginaceae
artificial inflorescence,Artia Guillaumin,Apocynaceae
Linum pubescens,Linum pubescens Banks & Sol.,Linaceae
Ionopsis utricularioides,Ionopsis utricularioides (Sw.) Lindl.,Orchidaceae
Orchis galilaea,Orchis galilaea (Bornm. & M.Schulze) Schltr.,Orchidaceae
Ourisia glandulosa,Ourisia glandulosa Hook.f.,Plantaginaceae
Wahlenbergia albomarginata,Wahlenbergia albomarginata Hook.,Campanulaceae
Alocasia odora,Alocasia odora (G.Lodd.) Spach,Araceae
Prunus dulcis,Prunus dulcis (Mill.) Rchb.,NA
Eucalyptus caesia,Eucalyptus caesia Benth.,Myrtaceae
Ipomopsis tenuituba ssp. tenuituba,Ipomopsis tenuituba subsp. tenuituba ,Polemoniaceae
Ipomopsis aggregata ssp. aggregata,Ipomopsis aggregata subsp. aggregata ,Polemoniaceae
Jacaranda racemosa,Jacaranda racemosa Cham.,Bignoniaceae
Zeyheria montana,Zeyheria montana Mart.,Bignoniaceae
Symphonia globulifera,Symphonia globulifera L.f.,Clusiaceae
Ternstroemia laevigata,Ternstroemia laevigata Wawra,Pentaphylacaceae
Ternstroemia dentata,Ternstroemia dentata (Aubl.) Sw.,Pentaphylacaceae
Stackhousia aspericocca ssp. Cylindrical inflorescence,Stackhousia aspericocca f. aspericocca ,NA
Rhododendron calendulaceum,Rhododendron calendulaceum (Michx.) Torr.,Ericaceae
Annona squamosa x A. cherimola,Annona squamosa f. parvifolia Kuntze,Annonaceae
Lepanthes glicensteinii,Lepanthes glicensteinii Luer,Orchidaceae
Lepanthes helleri,Lepanthes helleri A.D.Hawkes,Orchidaceae
Lepanthes stenorhyncha,Lepanthes stenorhyncha Luer,Orchidaceae
Lepanthes turialvae,Lepanthes turialvae Rchb.f.,Orchidaceae
Vaccinium reticulatum,Vaccinium reticulatum Sm.,Ericaceae
Huberia bradeana,Huberia bradeana Bochorny & R.Goldenb.,Melastomataceae
Cytisus scoparius,Cytisus scoparius (L.) Link,Fabaceae
Vaccinium corymbosum,Vaccinium corymbosum L.,Ericaceae
Anthurium sp. (Guango Anthurium),Anthurium sect. Cordatopunctatum Croat & Carlsen,NA
Euphorbia characias,Euphorbia characias L.,Euphorbiaceae
Cineraria erodioides,Cineraria erodioides DC.,Asteraceae
Cybistax antisyphilitica,Cybistax antisyphilitica (Mart.) Mart.,Bignoniaceae
Roussea simplex,Roussea simplex Sm.,Rousseaceae
Pterostylis brumalis,Pterostylis brumalis L.B.Moore,Orchidaceae
Centropogon granulosus,Centropogon granulosus C.Presl,Campanulaceae
Pfaffia glomerata,Pfaffia glomerata (Spreng.) Pedersen,Amaranthaceae
Couepia uiti,Couepia uiti (Mart. & Zucc.) Benth. ex Hook.f.,Chrysobalanaceae
Trichosalpinx blaisdellii,Trichosalpinx blaisdellii (S.Watson) Luer,Orchidaceae
Trichosalpinx reflexa,Trichosalpinx reflexa Mel.Fernández & Bogarín,Orchidaceae
Trichosalpinx minutipetala,Trichosalpinx minutipetala (Ames & C.Schweinf.) Luer,Orchidaceae
Heracleum mantegazzianum,Heracleum mantegazzianum Sommier & Levier,Apiaceae
Drakaea livida,Drakaea livida J.Drumm.,Orchidaceae
Aeollanthus saxatilis,Aeollanthus saxatilis J.Duvign. & Denaeyer,Lamiaceae
Baccharis salicifolia,Baccharis salicifolia Nutt.,Asteraceae
Hydnora africana,Hydnora africana Thunb.,Aristolochiaceae
Hydnora esculenta,Hydnora esculenta Jum. & H.Perrier,Aristolochiaceae
Ephedra foeminea,Ephedra foeminea Forssk.,Ephedraceae
