plant_species,plant_accepted_name,plant_family
Fagopyrum esculentum,Fagopyrum esculentum Moench,Polygonaceae
Marsypianthes chamaedrys,Marsypianthes chamaedrys (Vahl) Kuntze,Lamiaceae
Senna alata,Senna alata (L.) Roxb.,Fabaceae
Senna spectabilis,Senna spectabilis (DC.) H.S.Irwin & Barneby,Fabaceae
Senna acuruensis,Senna acuruensis (Benth.) H.S.Irwin & Barneby,Fabaceae
Gongylolepis martiana,Gongylolepis martiana (Baker) Steyerm. & Cuatrec.,Asteraceae
Neea theifera,Neea theifera Oerst.,Nyctaginaceae
Hamamelis virginiana,Hamamelis virginiana L.,Hamamelidaceae
Pernettya rigida,Pernettya rigida (Bertero) DC.,Ericaceae
Dendroseris neriifolia,Dendroseris neriifolia Hook. & Arn.,Asteraceae
Escallonia callcottiae,Escallonia callcottiae Hook. & Arn.,Escalloniaceae
Libertia chilensis,Libertia chilensis (Molina) Gunckel,Iridaceae
Wahlenbergia fernandeziana,Wahlenbergia fernandeziana A.DC.,Campanulaceae
Wahlenbergia berteroi,Wahlenbergia berteroi Hook. & Arn.,Campanulaceae
Wahlenbergia hybrid,Wahlenbergia hederacea Rchb.,Campanulaceae
Cuminia eriantha,Cuminia eriantha (Benth.) Benth.,Lamiaceae
Dendroseris litoralis,Dendroseris litoralis Skottsb.,Asteraceae
Nicotiana cordifolia,Nicotiana cordifolia Phil.,Solanaceae
Rhaphithamnus venustus,Rhaphithamnus venustus (Phil.) B.L.Rob.,Verbenaceae
Zaluzianskya microsiphon,Zaluzianskya microsiphon (Kuntze) K.Schum.,Scrophulariaceae
Tritoniopsis revoluta,Tritoniopsis revoluta (Burm.f.) Goldblatt,Iridaceae
Lapeirousia anceps,Lapeirousia anceps (L.f.) Ker Gawl.,Iridaceae
Withania aristata,Withania aristata Pauquy,Solanaceae
Solanum xanti,Solanum xanti A.Gray,Solanaceae
Vaccinium corymbosum x darrowii,Vaccinium corymbosum var. albiflorum (Hook.) Fernald,Ericaceae
Vaccinium myrsinites,Vaccinium myrsinites Lam.,Ericaceae
Rhododendron spp.,Rhododendron L.,Ericaceae
Trientalis borealis,Trientalis borealis Raf.,Primulaceae
Solanum vespertilio,Solanum vespertilio Aiton,Solanaceae
Helicodiceros muscivorus,Helicodiceros muscivorus (L.f.) Engl.,Araceae
Crepis sancta,Crepis sancta (L.) Babc.,Asteraceae
Petunia axillaris subsp. axillaris,Petunia axillaris subsp. axillaris ,Solanaceae
Petunia integrifolia subsp. depauperata,Petunia integrifolia subsp. depauperata (R.E.Fr.) Stehmann,Solanaceae
Calibrachoa heterophylla,Calibrachoa heterophylla (Sendtn.) Wijsman,Solanaceae
Leucanthemum vulgare,Leucanthemum vulgare Lam.,Asteraceae
Anchusa officinalis,Anchusa officinalis L.,Boraginaceae
Oenothera casimiri,Oenothera casimiri Rostański,Onagraceae
Oenothera flaemingina,Oenothera flaemingina Hudziok,Onagraceae
Oenothera nuda,Oenothera nuda Renner ex Rostański,Onagraceae
Oenothera paradoxa,Oenothera paradoxa Hudziok,Onagraceae
Oenothera rubricaulis,Oenothera rubricaulis Kleb.,Onagraceae
Piriqueta cistoides ssp. caroliniana,Piriqueta cistoides subsp. caroliniana (Walter) Arbo,Passifloraceae
Symphytum asperum,Symphytum asperum Lepech.,Boraginaceae
Eschscholzia californica,Eschscholzia californica Cham.,Papaveraceae
Xerospermum intermedium,Xerospermum intermedium Radlk.,Sapindaceae
Ballota hirsuta,Ballota hirsuta Benth.,Lamiaceae
Lavandula dentata,Lavandula dentata L.,Lamiaceae
Lavandula stoechas,Lavandula stoechas L.,Lamiaceae
Echium vulgare,Echium vulgare L.,Boraginaceae
Diplotaxis catholica,Diplotaxis catholica (L.) DC.,Brassicaceae
Stachytarpheta glabra,Stachytarpheta glabra Cham.,Verbenaceae
Myrtillocactus geometrizans,Myrtillocactus geometrizans (Mart. ex Pfeiff.) Console,Cactaceae
Genlisea violacea,Genlisea violacea A.St.-Hil.,Lentibulariaceae
Cnidoscolus aconitifolius,Cnidoscolus aconitifolius I.M.Johnst.,Euphorbiaceae
Luisia teres,Luisia teres (Thunb.) Blume,Orchidaceae
Chamaecrista chamaecristoides,Chamaecrista chamaecristoides (Collad.) Greene,Fabaceae
Ipomoea bahiensis,Ipomoea bahiensis Willd.,Convolvulaceae
Mimulus guttatus,Mimulus guttatus DC.,Phrymaceae
Fuchsia regia,Fuchsia regia (Vand. ex Vell.) Munz,Onagraceae
Fuchsia campos-portoi,Fuchsia campos-portoi Pilg. & Schulze-Menz,Onagraceae
